date,open,high,low,close,volume,marcap
2019-12-19,650.3,653.65,645.11,647.85,808153790,233553667866613
2019-12-20,650.19,651.2,647.9,649.73,944573044,234817288488122
2019-12-23,651.77,652.81,646.68,647.62,725861836,234058374740461
2019-12-24,648.71,648.71,638.74,638.91,763092114,231075710418008
2019-12-26,640.77,652.09,640.2,652.07,921877734,235647597350004
2019-12-27,652.6,661.59,652.17,661.24,807711662,238198875786701
2019-12-30,662.06,669.83,661.62,669.83,789329743,241350997492726
2020-01-02,672.53,674.3,666.62,674.02,783730760,242768147795532
2020-01-03,677.57,679.37,668.1,669.93,903858876,241357675885325
2020-01-06,660.08,663.1,653.61,655.31,884278619,236177411592074
2020-01-07,660.87,664.21,659.18,663.44,970306788,239161960485498
2020-01-08,657.24,658.14,637.43,640.94,1379708008,231058476164510
2020-01-09,657.01,666.09,656.25,666.09,980618698,240120847246063
2020-01-10,668.79,673.03,665.92,673.03,837389583,242702877200386
2020-01-13,673.76,679.22,673.23,679.22,894402015,245066837935631
2020-01-14,682.14,685.88,676.78,678.71,897262055,244889130461349
2020-01-15,678.83,681.39,676.91,679.16,908209030,245115557824536
2020-01-16,679.67,686.52,679.49,686.52,880290516,247712207619104
2020-01-17,689.73,690.61,686.68,688.41,1028709944,248533214454011
2020-01-20,690.85,691.17,682.48,683.47,1019250129,246894427722961
2020-01-21,683.82,685.89,675.48,676.52,1032065677,244458961690645
2020-01-22,677.05,688.28,677.05,688.25,1012722625,248680112428119
2020-01-23,685.94,687.71,683.52,685.57,957782058,247897515122218
2020-01-28,660.79,668.22,658.78,664.7,1161215976,240463052434010
2020-01-29,671.08,671.98,664.09,670.18,1056865386,242425934306568
2020-01-30,670.65,673.17,652.42,656.39,1213886224,237472764148828
2020-01-31,660.98,664.77,641.57,642.48,1343602255,232461525068773
2020-02-03,631.82,648.34,627.65,646.85,1193311562,234039520722233
2020-02-04,650.72,661.24,649.22,661.24,938254924,239254407386027
2020-02-05,666.74,668.91,658.03,661.32,991276604,239361588048135
2020-02-06,665.94,672.69,665.88,672.69,946334024,243440170558289
2020-02-07,673.11,674.03,667.93,672.63,1024735295,243475160024523
2020-02-10,669.53,676.08,668.1,676.07,979098232,244756201921369
2020-02-11,678.97,682.34,678.43,682.34,1167070785,247131855300206
2020-02-12,683.26,686.79,680.26,686.59,1333842814,248735276118634
2020-02-13,689.54,691.43,681.77,687.61,1345100386,249058921341075
2020-02-14,687.23,692.0,685.67,688.91,1499191417,249470581193694
2020-02-17,690.35,692.64,686.73,692.59,1524917678,250776122607491
2020-02-18,691.42,692.52,681.44,682.92,1781024489,247300825929936
2020-02-19,686.89,688.11,673.64,684.78,1604888015,247969809714929
2020-02-20,687.65,688.51,677.99,681.66,1464809296,246963573454710
2020-02-21,673.57,680.28,667.47,667.99,1427547789,242180852576083
2020-02-24,653.4,656.31,639.22,639.29,1476932932,231858846358029
2020-02-25,639.28,656.96,633.65,656.95,1212527284,238230648416244
2020-02-26,644.02,658.29,642.98,654.63,1137059053,237411187960495
2020-02-27,654.61,660.89,634.79,638.17,1231802620,231512753527037
2020-02-28,626.36,631.25,608.38,610.73,1389631587,221971810594185
2020-03-02,617.88,627.71,607.32,627.66,1186854779,228073910340194
2020-03-03,641.65,641.77,626.71,626.82,1232865263,227876485133828
2020-03-04,623.75,641.73,623.55,641.73,1097676285,233919307962997
2020-03-05,647.75,650.81,643.97,650.19,1077679803,237065256511816
2020-03-06,642.33,647.83,637.2,642.72,1113502073,234780562644888
2020-03-09,631.13,632.52,614.58,614.6,1317498376,224592596545367
2020-03-10,606.89,619.98,604.51,619.97,1431027674,226525539356804
2020-03-11,621.12,622.07,591.38,595.61,1570650509,217679145366129
2020-03-12,589.2,594.32,555.47,563.49,1639528781,206048862292365
2020-03-13,536.62,540.3,487.07,524.0,1522369149,191628164131520
2020-03-16,538.68,541.87,504.51,504.51,1201664860,184690203595051
2020-03-17,488.02,518.72,483.51,514.73,1367413984,188460556731288
2020-03-18,520.79,526.1,485.14,485.14,1322271650,177738871903080
2020-03-19,501.59,502.12,419.55,428.35,1646248394,157026545958875
2020-03-20,443.88,467.75,435.11,467.75,1243149958,171351187321883
2020-03-23,443.51,455.97,435.81,443.76,1086690070,162563926645787
2020-03-24,457.21,480.4,454.24,480.4,1143642267,175921670307867
2020-03-25,496.32,506.43,488.98,505.68,1441082091,185244161322073
2020-03-26,506.51,533.33,501.82,516.61,1649355882,189294134771057
2020-03-27,535.94,540.04,502.48,522.83,1979703657,191551905037994
2020-03-30,513.13,542.12,511.47,542.11,1431987410,198576610761497
2020-03-31,551.48,569.07,551.25,569.07,1865421932,208277587033144
2020-04-01,568.88,579.76,551.3,551.84,1897096897,202131521987384
2020-04-02,555.4,567.7,542.75,567.7,1680263293,207901417119792
2020-04-03,571.29,576.27,564.02,573.01,1374770725,209882652288378
2020-04-06,579.25,597.21,577.83,597.21,1526019932,218761437654472
2020-04-07,606.21,606.9,593.22,606.9,2108624329,222382947974652
2020-04-08,604.46,615.32,599.3,607.37,2362934605,222708420453819
2020-04-09,616.67,618.37,610.66,615.95,1810580436,225817399796490
2020-04-10,617.75,618.08,593.01,611.26,2001744917,224262545585950
2020-04-13,609.94,611.06,596.71,596.71,2010346095,218902486182504
2020-04-14,605.14,611.36,602.05,610.29,1600520940,223912578480156
2020-04-16,606.69,623.59,603.15,623.43,1368160094,228844401093106
2020-04-17,631.34,634.79,628.05,634.79,1640016902,233023373736427
2020-04-20,635.71,643.05,634.2,637.82,1571067027,234188826361793
2020-04-21,634.76,641.07,602.05,628.77,2164007881,230989350667137
2020-04-22,618.95,635.31,616.88,635.16,1459274525,233065200930142
2020-04-23,640.13,645.54,637.33,643.79,1659299238,236376134230907
