date,open,high,low,close,volume,marcap
2019-12-19,2199.42,2204.73,2186.59,2196.56,643143837,1476809948465847
2019-12-20,2205.57,2206.82,2194.8,2204.18,646682877,1481266967974889
2019-12-23,2208.22,2209.2,2196.43,2203.71,502034303,1480981911312646
2019-12-24,2206.23,2206.23,2187.58,2190.08,569967811,1472110435243032
2019-12-26,2192.22,2198.01,2183.9,2197.93,571309392,1477949500778766
2019-12-27,2183.7,2215.55,2177.4,2204.21,490167721,1480287930817891
2019-12-30,2202.62,2208.04,2195.65,2197.67,416403484,1475909365805673
2020-01-02,2201.21,2202.32,2171.84,2175.17,494677752,1461424793589993
2020-01-03,2192.58,2203.38,2165.39,2176.46,631562785,1462298971774498
2020-01-06,2154.97,2164.42,2149.95,2155.07,592670719,1448385085188395
2020-01-07,2166.6,2181.62,2164.27,2175.54,568235609,1462298814406954
2020-01-08,2156.27,2162.32,2137.72,2151.31,913830628,1446631314388659
2020-01-09,2182.2,2186.45,2172.16,2186.45,592603655,1470805018622162
2020-01-10,2189.48,2206.92,2188.1,2206.39,594536948,1484063380523097
2020-01-13,2204.49,2230.43,2204.49,2229.26,488288759,1499967180669582
2020-01-14,2243.06,2250.79,2232.94,2238.88,835899254,1506534496285997
2020-01-15,2229.8,2238.21,2223.39,2230.98,746156323,1501047629018491
2020-01-16,2231.93,2249.09,2225.41,2248.05,808331797,1513149909207655
2020-01-17,2261.57,2268.71,2245.58,2250.57,580816395,1515299753695611
2020-01-20,2261.4,2277.23,2258.09,2262.64,545491231,1524384083509849
2020-01-21,2259.81,2266.31,2238.25,2239.69,770319899,1508408627687428
2020-01-22,2238.53,2269.27,2235.13,2267.25,608509908,1526798959055386
2020-01-23,2254.54,2260.63,2241.94,2246.13,509608911,1512629061905415
2020-01-28,2192.22,2199.93,2166.23,2176.72,808878835,1466083102897148
2020-01-29,2188.18,2195.45,2172.33,2185.28,692300723,1472171521931855
2020-01-30,2181.54,2187.45,2139.72,2148.0,602838388,1446505817054810
2020-01-31,2160.6,2167.23,2119.01,2119.01,710507814,1427047754939819
2020-02-03,2086.61,2126.73,2082.74,2118.88,836699550,1427133301985757
2020-02-04,2121.22,2162.32,2120.53,2157.9,624641660,1454235584223968
2020-02-05,2177.26,2181.52,2154.88,2165.63,574395954,1460243894885127
2020-02-06,2184.77,2229.99,2182.25,2227.94,695216238,1501460505978003
2020-02-07,2221.49,2223.92,2198.14,2211.95,800342334,1491013321310687
2020-02-10,2185.63,2203.39,2180.51,2201.07,609566457,1483846707096682
2020-02-11,2213.5,2233.32,2211.25,2223.12,526211397,1498338521859173
2020-02-12,2225.95,2242.24,2214.77,2238.38,632462739,1508346241846750
2020-02-13,2245.72,2255.49,2230.3,2232.96,638666394,1505295816622192
2020-02-14,2232.71,2251.5,2221.9,2243.59,597224094,1511254622615908
2020-02-17,2243.07,2250.05,2230.26,2242.17,458247876,1510109679102093
2020-02-18,2225.98,2232.93,2205.21,2208.88,470424959,1487436220977309
2020-02-19,2222.51,2226.0,2191.2,2210.34,591155345,1488454958761049
2020-02-20,2223.55,2228.18,2186.72,2195.5,709563653,1478574047802416
2020-02-21,2165.65,2184.43,2160.28,2162.84,635474020,1456692607497773
2020-02-24,2114.04,2120.06,2079.03,2079.04,948620568,1400516367868853
2020-02-25,2075.55,2105.49,2071.5,2103.61,1565588378,1417275415217287
2020-02-26,2064.07,2089.64,2059.13,2076.77,810937954,1398569205665041
2020-02-27,2073.87,2085.4,2049.15,2054.89,562775389,1383776360997792
